LotArea,TotalBsmtSF,BedroomAbvGr,GarageCars,SalePrice
8450,856,3,2,208500
9600,1262,3,2,181500
11250,920,3,2,223500
9550,756,3,3,140000
14260,1145,4,3,250000
14115,796,1,2,143000
10084,1686,3,2,307000
10382,1107,3,2,200000
6120,952,2,2,129900
7420,991,2,1,118000
11200,1040,3,1,129500
11924,1175,4,3,345000
12968,912,2,1,144000
10652,1494,3,3,279500
10920,1253,2,1,157000
6120,832,2,2,132000
11241,1004,2,2,149000
10791,0,2,2,90000
13695,1114,3,2,159000
7560,1029,3,1,139000
14215,1158,4,3,325300
7449,637,3,1,139400
9742,1777,3,2,230000
4224,1040,3,2,129900
8246,1060,3,1,154000
14230,1566,3,3,256300
7200,900,3,2,134800
11478,1704,3,3,306000
16321,1484,2,1,207500
6324,520,1,1,68500
8500,649,3,1,40000
8544,1228,3,1,149350
11049,1234,3,2,179900
10552,1398,4,2,165500
7313,1561,2,2,277500
13418,1117,4,3,309000
10859,1097,3,2,145000
8532,1297,3,2,153000
7922,1057,3,1,109000
6040,0,2,0,82000
8658,1088,3,2,160000
16905,1350,2,1,170000
9180,840,2,2,144000
9200,938,3,1,130250
7945,1150,3,1,141000
7658,1752,2,2,319900
12822,1434,1,2,239686
11096,1656,3,3,249700
4456,736,2,0,113000
7742,955,3,1,127000
13869,794,3,2,177000
6240,816,3,2,114500
8472,816,2,2,110000
50271,1842,0,3,385000
7134,384,3,2,130000
10175,1425,3,2,180500
2645,970,3,2,172500
11645,860,3,2,196500
13682,1410,3,3,438780
7200,780,2,1,124900
13072,1158,3,2,158000
7200,530,3,1,101000
6442,1370,2,2,202500
10300,576,3,2,140000
9375,1057,3,2,219500
9591,1143,4,3,317000
19900,1947,3,2,180000
10665,1453,3,2,226000
4608,747,2,1,80000
15593,1304,3,2,225000
13651,2223,3,2,244000
7599,845,2,2,129500
10141,832,3,2,185000
10200,1086,3,2,144900
5790,840,3,1,107400
1596,462,2,1,91000
8475,952,2,1,135750
8635,672,2,1,127000
10778,1768,4,0,136500
10440,440,2,2,110000
13000,896,4,1,193500
4500,1237,2,2,153500
10206,1563,3,3,245000
8892,1065,3,2,126500
8530,384,3,2,168500
16059,1288,4,2,260000
11911,684,3,2,174000
3951,612,2,2,164500
8470,1013,2,0,85000
8070,990,3,0,123600
7200,0,2,2,109900
8500,1235,2,2,98600
13360,876,2,2,163500
7200,1214,4,2,133900
9337,824,3,2,204750
9765,680,3,2,185000
10264,1588,3,2,214000
10921,960,3,1,94750
10625,458,2,1,83000
9320,950,3,0,128950
10603,1610,3,2,205000
9206,741,3,2,178000
7018,0,4,2,118964
10402,1226,3,3,198900
7758,1040,4,1,169500
9375,1053,3,2,250000
10800,641,2,1,100000
6000,789,2,1,115000
8500,793,3,0,115000
11751,1844,3,2,190000
9525,994,4,1,136900
7750,384,3,2,180000
9965,1264,4,3,383970
